,data,horário,camp.,rodada,dia,local,resultado,gp,gc,oponente,xg,xga,posse,público,capitão,formação,árbitro,relatório da partida,tc,cag,dist,fk,pb,pt,temporada,time
6,2024-04-13,21:00,Série A,Rodada da semana 1,sáb,Visitante,E,2,2,Fluminense,1.2,1.8,31.0,17.645,Cleiton Schwengber,4-3-3,Maguielson Lima Barbosa,Relatório da Partida,16,8,187.0,0.0,0,0,2024,Bragantino
7,2024-04-17,19:00,Série A,Rodada da semana 2,qua,Em casa,V,2,1,Vasco da Gama,0.9,1.2,41.0,,Eduardo Sasha,4-3-3,Paulo Cesar Zanovelli da Silva,Relatório da Partida,17,5,199.0,1.0,0,0,2024,Bragantino
8,2024-04-20,18:30,Série A,Rodada da semana 3,sáb,Em casa,V,1,0,Corinthians,0.5,1.2,35.0,9.466,Cleiton Schwengber,4-3-3,Rafael Rodrigo Klein,Relatório da Partida,10,3,225.0,0.0,0,0,2024,Bragantino
2,2024-04-14,16:00,Série A,Rodada da semana 1,dom,Visitante,V,2.0,1.0,Atl Goianiense,1.2,1.6,67.0,,Giorgian De Arrascaeta,4-2-3-1,André Luiz Skettino Policarpo Bento,Relatório da Partida,14,1,242.0,1.0,1,1,2024,Flamengo
3,2024-04-17,21:30,Série A,Rodada da semana 2,qua,Em casa,V,2.0,1.0,São Paulo,1.3,0.7,47.0,,Bruno Henrique,4-2-3-1,Anderson Daronco,Relatório da Partida,12,6,163.0,0.0,0,0,2024,Flamengo
4,2024-04-21,16:00,Série A,Rodada da semana 3,dom,Visitante,E,0.0,0.0,Palmeiras,0.2,0.4,51.0,29.956,Giorgian De Arrascaeta,4-2-3-1,Rodrigo José Pereira de Lima,Relatório da Partida,8,3,233.0,1.0,0,0,2024,Flamengo
6,2024-04-14,17:00,Série A,Rodada da semana 1,dom,Visitante,D,2.0,3.0,Cruzeiro,2.0,1.6,45.0,20.701,Gatito Fernández,4-4-2,Matheus Delgado Candançan,Relatório da Partida,6,3,152.0,0.0,0,0,2024,Botafogo RJ
7,2024-04-18,21:30,Série A,Rodada da semana 2,qui,Em casa,V,1.0,0.0,Atl Goianiense,0.6,0.9,52.0,,Gatito Fernández,4-4-2,Luiz Flávio de Oliveira,Relatório da Partida,13,4,195.0,1.0,0,0,2024,Botafogo RJ
8,2024-04-21,18:30,Série A,Rodada da semana 3,dom,Em casa,V,5.0,1.0,Juventude,2.9,0.3,55.0,,Gatito Fernández,4-4-2,Arthur Gomes Rabelo,Relatório da Partida,12,5,148.0,1.0,1,1,2024,Botafogo RJ
2,2024-04-14,16:00,Série A,Rodada da semana 1,dom,Em casa,V,4.0,0.0,Cuiabá,2.0,0.3,62.0,,Thiago Heleno,4-1-2-1-2◆,Jonathan Benkenstein Pinheiro,Relatório da Partida,20,9,166.0,0.0,0,0,2024,Athletico Paranaense
3,2024-04-17,19:00,Série A,Rodada da semana 2,qua,Visitante,D,0.0,2.0,Grêmio,0.2,1.1,52.0,13.236,Thiago Heleno,4-2-3-1,Marcelo de Lima Henrique,Relatório da Partida,4,0,219.0,0.0,0,0,2024,Athletico Paranaense
4,2024-04-21,16:00,Série A,Rodada da semana 3,dom,Em casa,V,1.0,0.0,Internacional,0.8,1.6,46.0,29.784,Thiago Heleno,4-2-3-1,Felipe Fernandes de Lima,Relatório da Partida,13,3,179.0,0.0,0,0,2024,Athletico Paranaense
2,2024-04-14,16:00,Série A,Rodada da semana 1,dom,Visitante,D,1.0,2.0,Vasco da Gama,1.2,0.9,53.0,,Walter Kannemann,4-2-3-1,Flavio de Souza,Relatório da Partida,9,2,140.0,1.0,0,0,2024,Gremio
3,2024-04-17,19:00,Série A,Rodada da semana 2,qua,Em casa,V,2.0,0.0,Ath Paranaense,1.1,0.2,48.0,13.236,Pedro Geromel,4-3-3,Marcelo de Lima Henrique,Relatório da Partida,14,7,183.0,1.0,0,0,2024,Gremio
4,2024-04-20,18:30,Série A,Rodada da semana 3,sáb,Em casa,V,1.0,0.0,Cuiabá,0.6,1.3,57.0,,Mathías Villasanti,4-2-3-1,Bruno Pereira Vasconcelos,Relatório da Partida,7,4,198.0,0.0,0,0,2024,Gremio
2,2024-04-13,18:30,Série A,Rodada da semana 1,sáb,Em casa,V,2.0,1.0,Bahia,1.6,0.6,52.0,,Renê,4-4-2,Rodrigo José Pereira de Lima,Relatório da Partida,17,9,147.0,0.0,0,0,2024,Internacional
3,2024-04-17,20:00,Série A,Rodada da semana 2,qua,Visitante,V,1.0,0.0,Palmeiras,1.1,1.4,37.0,,Gabriel Mercado,4-2-3-1,Lucas Paulo Torezin,Relatório da Partida,4,2,173.0,0.0,0,1,2024,Internacional
4,2024-04-21,16:00,Série A,Rodada da semana 3,dom,Visitante,D,0.0,1.0,Ath Paranaense,1.6,0.8,54.0,29.784,Renê,4-2-3-1,Felipe Fernandes de Lima,Relatório da Partida,20,3,198.0,1.0,0,0,2024,Internacional
